timestamp,virtual_date,weekday,iteration,stock_id,person_id,type,price,quantity,status
1764470513178,0,0,0,0,-1,sell,445.6,1200,closed
1764470513191,0,0,0,1,-1,sell,465.8,1000,closed
1764470513204,0,0,0,2,-1,sell,440.6,1480,closed
1764470630366,0,0,0,2,1,buy,462.63000000000005,35,finished
1764470513205,0,0,0,2,-1,sell,443.3213529411765,35,finished
1764470755929,0,0,1,2,0,buy,465.486,85,finished
1764470513205,0,0,0,2,-1,sell,447.63357902813306,85,finished
1764470857508,0,0,2,2,0,sell,425.2485,1,finished
1764471271370,1,1,0,2,1,buy,469.9065,29,finished
1764471271384,1,1,0,1,2,buy,489.09000000000003,99,finished
1764471391147,1,1,1,2,1,sell,428.45,2,finished
1764471391161,1,1,1,1,2,sell,449.12199999999996,1,finished
1764471528936,1,1,2,0,2,buy,467.88000000000005,1,finished
1764471649257,1,1,3,2,0,buy,471.975,3,finished
1764471981856,2,2,0,2,1,buy,472.5315,2,finished
1764471981870,2,2,0,2,2,buy,472.5315,2,finished
1764472097147,2,2,1,2,0,buy,472.96200000000005,2,finished
